contribution	rho	eta	metric	estimate	se	lower	upper	n
access	0.0	0.0	access_fraction	0.0028000058118298286	0.0009255349441922836	0.0008628389104399265	0.004737172713219731	20
access	0.0	0.0	agent_holdout_rank	-0.04354816101919764	0.003604385462905068	-0.051092226494417574	-0.0360040955439777	20
access	0.0	0.0	betweenness	-0.16847965536564763	0.01352597034556813	-0.1967898366581352	-0.14016947407316005	20
access	0.0	0.0	broker_fill_rate	-0.0008203015905347277	0.0002526969761352779	-0.0013492024400621068	-0.0002914007410073485	20
access	0.0	0.0	broker_holdout_rank	-0.011700888860462017	0.020966035568682873	-0.055583305631295474	0.03218152791037143	20
access	0.0	0.0	broker_net_output_per_requested_position	-0.02168479069728657	0.01105460940355646	-0.04482235409101854	0.0014527726964453994	20
access	0.0	0.0	broker_selected_rank	-0.010962743520011826	0.0019715324782642383	-0.015089208421066105	-0.006836278618957547	20
access	0.0	0.0	mean_degree	18.59601	1.84818603022275	14.727712181722382	22.464307818277618	20
access	0.0	0.0	net_output_per_requested_position	-0.03709208604368874	0.00402302745598488	-0.045512379280610166	-0.02867179280676732	20
access	0.0	0.0	outsourcing_rate	0.06418206694237036	0.007215099564228088	0.04908068999949006	0.07928344388525066	20
access	0.0	0.0	q_gap	-0.010037069002249563	0.02808603832408055	-0.0688218228075838	0.048747684803084675	20
access	0.0	0.0	rank_gap	0.031847272158735555	0.020971972008448986	-0.012047569723325921	0.07574211404079703	20
access	0.0	0.0	self_fill_rate	-5.858792125988388e-5	3.228908205852395e-5	-0.0001261697467031383	8.993904183370537e-6	20
access	0.0	0.0	self_net_output_per_requested_position	-0.03907693876192915	0.01941655557659582	-0.07971625663750001	0.0015623791136417098	20
access	0.0	0.01	access_fraction	0.008826650175363052	0.0030103747004758875	0.0025258635144848095	0.015127436836241296	20
access	0.0	0.01	agent_holdout_rank	-0.017385003221710566	0.003603652606178738	-0.02492753481017386	-0.009842471633247273	20
access	0.0	0.01	betweenness	-0.03472689533965383	0.009966560717755573	-0.05558714666163719	-0.013866644017670463	20
access	0.0	0.01	broker_fill_rate	-8.254877234779024e-5	0.00016016075175618718	-0.0004177690783456079	0.0002526715336500275	20
access	0.0	0.01	broker_holdout_rank	-0.11573396725225993	0.014459388550639381	-0.14599781530078426	-0.0854701192037356	20
access	0.0	0.01	broker_net_output_per_requested_position	0.2139301177799553	0.01960060712236459	0.1729055755918394	0.2549546599680712	20
access	0.0	0.01	broker_selected_rank	-0.006552973775365683	0.0024769746494182733	-0.011737341298757718	-0.0013686062519736473	20
access	0.0	0.01	mean_degree	1.5745799999999996	0.5029648147210386	0.5218625442678473	2.627297455732152	20
access	0.0	0.01	net_output_per_requested_position	0.2009265438117108	0.013803843010628406	0.17203476834718953	0.22981831927623206	20
