seed	pair_agent_holdout_rank	pair_broker_holdout_rank	pair_rank_gap	pair_agent_holdout_r2	pair_broker_holdout_r2	pair_r2_gap	pair_output_gap	pair_outsourcing_rate	pair_access_fraction	pair_betweenness	pair_mean_degree	size_matched_agent_holdout_rank	size_matched_broker_holdout_rank	size_matched_rank_gap	size_matched_agent_holdout_r2	size_matched_broker_holdout_r2	size_matched_r2_gap	size_matched_output_gap	size_matched_outsourcing_rate	size_matched_access_fraction	size_matched_betweenness	size_matched_mean_degree	single_principal_agent_holdout_rank	single_principal_broker_holdout_rank	single_principal_rank_gap	single_principal_agent_holdout_r2	single_principal_broker_holdout_r2	single_principal_r2_gap	single_principal_output_gap	single_principal_outsourcing_rate	single_principal_access_fraction	single_principal_betweenness	single_principal_mean_degree	additive_agent_holdout_rank	additive_broker_holdout_rank	additive_rank_gap	additive_agent_holdout_r2	additive_broker_holdout_r2	additive_r2_gap	additive_output_gap	additive_outsourcing_rate	additive_access_fraction	additive_betweenness	additive_mean_degree	size_matched_minus_pair_agent_holdout_rank	size_matched_minus_pair_broker_holdout_rank	size_matched_minus_pair_rank_gap	size_matched_minus_pair_agent_holdout_r2	size_matched_minus_pair_broker_holdout_r2	size_matched_minus_pair_r2_gap	size_matched_minus_pair_output_gap	size_matched_minus_pair_outsourcing_rate	size_matched_minus_pair_access_fraction	size_matched_minus_pair_betweenness	size_matched_minus_pair_mean_degree	single_principal_minus_pair_agent_holdout_rank	single_principal_minus_pair_broker_holdout_rank	single_principal_minus_pair_rank_gap	single_principal_minus_pair_agent_holdout_r2	single_principal_minus_pair_broker_holdout_r2	single_principal_minus_pair_r2_gap	single_principal_minus_pair_output_gap	single_principal_minus_pair_outsourcing_rate	single_principal_minus_pair_access_fraction	single_principal_minus_pair_betweenness	single_principal_minus_pair_mean_degree	additive_minus_pair_agent_holdout_rank	additive_minus_pair_broker_holdout_rank	additive_minus_pair_rank_gap	additive_minus_pair_agent_holdout_r2	additive_minus_pair_broker_holdout_r2	additive_minus_pair_r2_gap	additive_minus_pair_output_gap	additive_minus_pair_outsourcing_rate	additive_minus_pair_access_fraction	additive_minus_pair_betweenness	additive_minus_pair_mean_degree
1	0.43981810506566604	0.8670523452157599	0.4272342401500939	-2.890171710679057	0.5136224440097151	3.4037941546887716	1.810320659765127	0.9609880206389059	0.11946214016346009	0.7638010626120139	17.721300000000003	0.7133367729831146	0.779796435272045	0.06645966228893052	-0.7090672498277361	0.08211515729677837	0.7911824071245144	1.4287201087214345	0.7780623376413099	0.34786417952146115	0.47152680664226115	37.58165	0.6682217636022513	0.45236257035647276	-0.21585919324577857	-0.5324083231257017	-0.5246420269628527	0.007766296162849018	0.8328140682683072	0.5211222553299757	0.20536063515352976	0.10402776550565733	28.857049999999997	0.6471372420262664	0.3342408067542214	-0.312896435272045	-0.5981787568650949	-25.082335563425605	-24.484156806560513	0.8895419993427927	0.583908476775144	0.11223741929156808	0.13349070284496045	18.387000000000004	0.27351866791744855	-0.0872559099437149	-0.3607745778611634	2.181104460851321	-0.43150728671293676	-2.612611747564257	-0.3816005510436924	-0.18292568299759593	0.22840203935800107	-0.2922742559697527	19.86035	0.22840365853658523	-0.41468977485928715	-0.6430934333958724	2.357763387553355	-1.038264470972568	-3.3960278585259225	-0.9775065914968197	-0.4398657653089302	0.08589849499006967	-0.6597732971063566	11.135749999999994	0.2073191369606004	-0.5328115384615385	-0.740130675422139	2.291992953813962	-25.59595800743532	-27.887950961249285	-0.9207786604223342	-0.37707954386376186	-0.007224720871892007	-0.6303103597670534	0.6657000000000011
2	0.4795570356472795	0.8729095684803003	0.39335253283302063	-2.4916438579176154	0.6720586849708841	3.163702542888499	1.2621489924870457	0.9609165264087718	0.11637600606151607	0.7975421991886683	18.659550000000003	0.724736679174484	0.8216959662288931	0.09695928705440897	-0.5982977035040341	0.38675429713601034	0.9850520006400444	1.0789717377403654	0.7904594373549473	0.3107953292341808	0.5251002104700239	37.1094	0.6899265478424015	0.45570131332082553	-0.23422523452157598	-0.587687686754973	-0.9722018166817495	-0.3845141299267767	0.7846892127368903	0.5473143486018436	0.22880346183099337	0.09312430356091825	27.6532	0.6184616322701689	0.4739416510318949	-0.14451998123827398	-0.9395580902981472	-9.246716939669898	-8.307158849371753	0.7585245549813575	0.6830756741418381	0.08636504547948655	0.17478635991988314	15.805650000000004	0.24517964352720456	-0.05121360225140725	-0.29639324577861165	1.8933461544135812	-0.2853043878348737	-2.1786505422484543	-0.18317725474668034	-0.1704570890538245	0.19441932317266472	-0.27244198871864445	18.449849999999998	0.210369512195122	-0.4172082551594748	-0.6275777673545966	1.9039561711626425	-1.6442605016526337	-3.5482166728152755	-0.4774597797501554	-0.4136021778069282	0.1124274557694773	-0.70441789562775	8.993649999999995	0.13890459662288945	-0.39896791744840543	-0.5378725140712945	1.5520857676194684	-9.918775624640782	-11.470861392260252	-0.5036244375056882	-0.27784085226693367	-0.030010960582029525	-0.6227558392687852	-2.8538999999999994
3	0.5382236397748592	0.826469230769231	0.2882455909943716	-1.9105250088750356	0.5350019068306842	2.44552691570572	1.795397554648614	0.9427485052279746	0.11862486903075917	0.8169749191512408	17.3779	0.7406031894934333	0.7603568480300187	0.019753658536585405	-0.2646293298106988	0.12276561847525078	0.3873949482859496	1.6881538250665487	0.7980188271339569	0.3367723548909443	0.4875284953410177	38.50515	0.6976650093808632	0.6612764540337711	-0.03638855534709194	-0.322109984468563	-0.7622584504879935	-0.44014846601943053	1.2879161429431094	0.7127628450772925	0.2956364554436353	0.095767874698622	35.929500000000004	0.6860266416510318	0.6685410881801126	-0.017485553470919256	-0.4041502894924955	-13.297996289412836	-12.89384599992034	1.1267820792362429	0.6727546565621354	0.07568005359871768	0.1480759973115835	17.64535	0.20237954971857408	-0.06611238273921227	-0.2684919324577862	1.6458956790643369	-0.41223628835543336	-2.05813196741977	-0.1072437295820654	-0.1447296780940177	0.21814748586018515	-0.32944642381022304	21.12725	0.15944136960600397	-0.16519277673545985	-0.32463414634146354	1.5884150244064728	-1.2972603573186776	-2.88567538172515	-0.5074814117055046	-0.22998566015068211	0.17701158641287615	-0.7212070444526187	18.551600000000004	0.14780300187617257	-0.15792814258911836	-0.3057311444652908	1.50637471938254	-13.832998196243521	-15.33937291562606	-0.6686154754123712	-0.2699938486658392	-0.04294481543204148	-0.6688989218396573	0.2674500000000002
4	0.5111212945590995	0.8428671669793621	0.33174587242026277	-2.087271295472977	0.6177448732058877	2.7050161686788647	1.6053120368031497	0.9130163663148968	0.11106567028211292	0.78989345959072	18.0597	0.7243967166979361	0.7477087242026267	0.02331200750469049	-0.47541674782986965	0.12531155428037694	0.6007283021102465	1.3574662507021282	0.688471421762639	0.3896929593523071	0.49326449582204807	39.4267	0.7236949343339587	0.5033477485928705	-0.22034718574108828	-0.014616006342179567	-0.40403581009531686	-0.38941980375313734	0.8796146917582843	0.4808785308016984	0.34295212624130134	0.10743170431265445	27.06005	0.6838906191369605	0.42481069418386486	-0.2590799249530956	-0.1877203848972991	-9.72525807576564	-9.53753769086834	0.24860302043795132	0.4132559064924449	0.13469388093812923	0.18678137459691574	18.5763	0.21327542213883666	-0.09515844277673546	-0.3084338649155723	1.6118545476431074	-0.49243331892551073	-2.104287866568618	-0.24784578610102148	-0.22454494455225782	0.2786272890701942	-0.2966289637686719	21.366999999999997	0.2125736397748592	-0.3395194183864917	-0.552093058161351	2.0726552891307977	-1.0217806833012046	-3.0944359724320023	-0.7256973450448654	-0.4321378355131984	0.23188645595918841	-0.6824617552780655	9.000350000000001	0.17276932457786098	-0.4180564727954973	-0.5908257973733584	1.899550910575678	-10.343002948971527	-12.242553859547206	-1.3567090163651985	-0.4997604598224519	0.023628210656016307	-0.6031120849938043	0.5166000000000004
5	0.43151660412757975	0.8858058161350844	0.4542892120075046	-2.6690719851861706	0.6617184790449623	3.330790464231132	1.2546762322812102	0.9708160163554563	0.12649008848184567	0.758612999565345	18.1111	0.7345335834896809	0.7965630393996246	0.062029455909943645	-0.4698904550555135	0.3009924402220153	0.7708828952775288	0.8423159607176268	0.7529567678005827	0.328828536644408	0.4435336000217556	38.0568	0.7549845215759851	0.08373686679174484	-0.6712476547842402	-0.051877627840887196	-1.4283623956047404	-1.3764847677638532	0.4584314923231073	0.2881813816040207	0.14594865395288467	0.1426938543337284	20.38425	0.735223076923077	0.1099409005628518	-0.6252821763602252	-0.23957460425431099	-29.06045191383174	-28.820877309577433	0.273144664506979	0.2791870204538812	0.10660794604906161	0.1523270268894668	19.2792	0.30301697936210115	-0.08924277673545977	-0.392259756097561	2.199181530130657	-0.36072603882294696	-2.5599075689536033	-0.41236027156358335	-0.2178592485548736	0.2023384481625623	-0.3150793995435894	19.945700000000002	0.3234679174484053	-0.8020689493433395	-1.125536866791745	2.6171943573452836	-2.090080874649703	-4.707275231994985	-0.7962447399581029	-0.6826346347514356	0.019458565471038997	-0.6159191452316166	2.273150000000001	0.30370647279549723	-0.7758649155722326	-1.0795713883677298	2.42949738093186	-29.722170392876702	-32.15166777380857	-0.9815315677742311	-0.6916289959015751	-0.019882142432784064	-0.6062859726758782	1.168099999999999
6	0.48545403377110696	0.8130554409005628	0.3276014071294559	-3.040609576899838	0.48926603283022646	3.5298756097300648	1.6308354269625518	0.9121145554796574	0.11510961799190556	0.7481080556462218	18.675549999999998	0.6888703564727954	0.7357796435272046	0.04690928705440907	-0.923728585802208	0.08573845267860347	1.0094670384808115	1.3459638651824277	0.6984048721725931	0.37369987390521986	0.4280749137512766	39.979899999999994	0.6595662288930582	0.4728930581613507	-0.1866731707317074	-0.6132099421648871	-0.4015724001947282	0.21163754197015905	0.758058168659082	0.5023778950402591	0.33368939995736496	0.11466370267252371	26.23025	0.7100689493433396	0.5157950281425892	-0.1942739212007505	-0.1543326741556505	-11.351237797216575	-11.196905123060924	-0.5338296992893339	0.38691994431050925	0.1133249612654966	0.11607523716554431	18.8555	0.2034163227016884	-0.07727579737335821	-0.28069212007504685	2.11688099109763	-0.403527580151623	-2.520408571249253	-0.28487156178012407	-0.2137096833070643	0.2585902559133143	-0.32003314189494525	21.304349999999996	0.1741121951219512	-0.3401623827392121	-0.5142745778611633	2.427399634734951	-0.8908384330249546	-3.3182380677599057	-0.8727772583034697	-0.40973666043939827	0.2185797819654594	-0.6334443529736982	7.554700000000004	0.22461491557223268	-0.29726041275797366	-0.5218753283302064	2.8862769027441875	-11.840503830046801	-14.726780732790989	-2.1646651262518857	-0.5251946111691481	-0.0017846567264089563	-0.6320328184806775	0.1799500000000016
7	0.5290513133208254	0.8635950281425891	0.33454371482176365	-2.0219783679799384	0.5924512713885073	2.6144296393684456	1.313696197218772	0.9390845013272425	0.11925814692286281	0.7743201908442949	18.09765	0.7513651031894933	0.7547942776735461	0.0034291744840526162	-0.3097730690249062	0.24808592093448975	0.557858989959396	1.3338985286833192	0.7188994434973972	0.3963173626839175	0.38063081787089803	41.40105	0.7496700750469042	0.7375765478424015	-0.012093527204502751	0.015692022557699324	-0.609600830937509	-0.6252928534952082	0.1284398792390463	0.41829022516315895	0.3040694110884326	0.08998588506620946	28.7916	0.7164213883677298	0.7262984052532833	0.009877016885553447	-0.10980524846438786	-3.5908659164590824	-3.481060667994695	-0.5889185376293515	0.39436990611467626	0.16519963242241534	0.15444169275502576	20.76525	0.2223137898686679	-0.10880075046904303	-0.33111454033771104	1.7122052989550323	-0.3443653504540175	-2.05657064940905	0.020202331464547196	-0.22018505782984532	0.2770592157610547	-0.3936893729733969	23.303399999999996	0.22061876172607875	-0.1260184803001877	-0.3466372420262664	2.0376703905376377	-1.2020521023260162	-3.239722492863654	-1.1852563179797257	-0.5207942761640836	0.1848112641655698	-0.6843343057780855	10.693949999999997	0.1873700750469044	-0.13729662288930589	-0.3246666979362102	1.9121731195155505	-4.18331718784759	-6.095490307363141	-1.9026147348481235	-0.5447145952125663	0.04594148549955253	-0.6198784980892692	2.6676
8	0.5053409943714822	0.8870072232645402	0.38166622889305807	-2.106139323621716	0.6048179819184216	2.710957305540137	1.2947535029672068	0.9530804781567668	0.11135330327449462	0.735471357741048	19.4466	0.7759566604127579	0.7809337711069418	0.004977110694183856	-0.06117623664341841	0.387209631340846	0.4483858679842645	1.081258528180845	0.7620882570361432	0.3885379499496762	0.34975755425312666	46.0153	0.7559295497185741	0.7066098499061914	-0.04931969981238268	0.08655093657817682	-0.47877470979452585	-0.5653256463727027	0.024305191656516012	0.45352973107773503	0.3546708530706036	0.08706016608890996	27.798000000000002	0.7554070356472795	0.651344277673546	-0.10406275797373368	0.16013745862546433	-2.8296875751867234	-2.989825033812188	-0.7595382733350107	0.3113503125136883	0.13473575277763955	0.1329048745502916	21.070749999999997	0.27061566604127574	-0.10607345215759834	-0.3766891181988742	2.0449630869782975	-0.2176083505775756	-2.2625714375558723	-0.21349497478636192	-0.19099222112062353	0.2771846466751816	-0.38571380348792134	26.568700000000003	0.2505885553470919	-0.18039737335834882	-0.4309859287054407	2.1926902601998925	-1.0835926917129475	-3.2762829519128394	-1.2704483113106908	-0.49955074707903174	0.24331754979610898	-0.648411191652138	8.351400000000002	0.25006604127579735	-0.2356629455909942	-0.4857289868667918	2.2662767822471803	-3.434505557105145	-5.700782339352324	-2.0542917763022173	-0.6417301656430785	0.023382449503144928	-0.6025664831907565	1.6241499999999967
9	0.49688611632270174	0.8309736397748594	0.3340875234521577	-2.6319459714926703	0.22632839353139542	2.858274365024066	1.8862483028380272	0.9217961985212227	0.10696690707544561	0.7682625695190691	17.395899999999997	0.6993762664165103	0.7491135084427768	0.04973724202626648	-0.6065987868486401	-0.2914744525400466	0.3151243343085935	1.8948246016212942	0.7799454230846028	0.319399600601321	0.4697180066327921	36.336149999999996	0.6679243902439025	0.4551379924953096	-0.21278639774859287	-0.8118049669263175	-1.1307186164117524	-0.318913649485435	1.333109851200323	0.5256239655527121	0.23016202025643598	0.1279919448267043	25.298899999999996	0.661467636022514	0.3848310506566604	-0.27663658536585367	-0.6350483301210296	-53.90044977256139	-53.265401442440364	1.4191243363627435	0.5120377613886975	0.09987367173428943	0.1833455272626062	18.562	0.20249015009380855	-0.08186013133208259	-0.2843502814258912	2.0253471846440303	-0.517802846071442	-2.543150030715472	0.008576298783266934	-0.14185077543661995	0.2124326935258754	-0.298544562886277	18.94025	0.17103827392120075	-0.37583564727954977	-0.5468739212007505	1.8201410045663526	-1.3570470099431478	-3.177188014509501	-0.5531384516377043	-0.3961722329685107	0.12319511318099037	-0.6402706246923648	7.902999999999999	0.16458151969981227	-0.446142589118199	-0.6107241088180113	1.9968976413716408	-54.126778166092784	-56.12367580746443	-0.46712396647528376	-0.40975843713252524	-0.007093235341156176	-0.5849170422564629	1.1661000000000037
10	0.5459472795497184	0.8502147279549719	0.3042674484052534	-1.484159086094972	0.6601391496696025	2.144298235764574	1.7587452421979226	0.8957519194922255	0.13210666789719808	0.6864310380163031	20.0856	0.7063141651031896	0.7762708255159475	0.06995666041275798	-0.23868843921463703	0.24737966521015614	0.4860681044247931	1.7078574637399655	0.7381714808224383	0.39359473242645543	0.3884449686407895	40.6136	0.7618877110694183	0.4679404315196999	-0.2939472795497185	0.034116191530417686	-0.46529696859907954	-0.4994131601294972	-0.7487026722645964	0.28099200362225096	0.37357639598649695	0.13618445950416663	25.214949999999998	0.6620923076923078	0.6062711069418387	-0.055821200750469105	-0.3922008248551839	-10.863751489690532	-10.471550664835348	-0.5064276159100107	0.5354728041159641	0.1480530265749443	0.15399006919500915	17.866300000000003	0.16036688555347112	-0.07394390243902438	-0.23431078799249538	1.245470646880335	-0.4127594844594464	-1.658230131339781	-0.05088777845795711	-0.15758043866978722	0.2614880645292573	-0.29798606937551364	20.528	0.21594043151969988	-0.382274296435272	-0.5982147279549719	1.5182752776253898	-1.125436118268682	-2.6437113958940714	-2.507447914462519	-0.6147599158699746	0.24146972808929887	-0.5502465785121364	5.129349999999999	0.11614502814258931	-0.24394362101313316	-0.3600886491557225	1.091958261239788	-11.523890639360134	-12.615848900599921	-2.2651728581079333	-0.36027911537626145	0.015946358677746214	-0.532440968821294	-2.219299999999997
