ablation_result_reldir	pair_result_reldir	rho	delta	n_seeds	pair_agent_holdout_rank	pair_broker_holdout_rank	pair_rank_gap	pair_agent_holdout_r2	pair_broker_holdout_r2	pair_r2_gap	pair_output_gap	pair_outsourcing_rate	pair_access_fraction	pair_betweenness	pair_mean_degree	size_matched_agent_holdout_rank	size_matched_broker_holdout_rank	size_matched_rank_gap	size_matched_agent_holdout_r2	size_matched_broker_holdout_r2	size_matched_r2_gap	size_matched_output_gap	size_matched_outsourcing_rate	size_matched_access_fraction	size_matched_betweenness	size_matched_mean_degree	single_principal_agent_holdout_rank	single_principal_broker_holdout_rank	single_principal_rank_gap	single_principal_agent_holdout_r2	single_principal_broker_holdout_r2	single_principal_r2_gap	single_principal_output_gap	single_principal_outsourcing_rate	single_principal_access_fraction	single_principal_betweenness	single_principal_mean_degree	additive_agent_holdout_rank	additive_broker_holdout_rank	additive_rank_gap	additive_agent_holdout_r2	additive_broker_holdout_r2	additive_r2_gap	additive_output_gap	additive_outsourcing_rate	additive_access_fraction	additive_betweenness	additive_mean_degree	size_matched_minus_pair_agent_holdout_rank	size_matched_minus_pair_broker_holdout_rank	size_matched_minus_pair_rank_gap	size_matched_minus_pair_agent_holdout_r2	size_matched_minus_pair_broker_holdout_r2	size_matched_minus_pair_r2_gap	size_matched_minus_pair_output_gap	size_matched_minus_pair_outsourcing_rate	size_matched_minus_pair_access_fraction	size_matched_minus_pair_betweenness	size_matched_minus_pair_mean_degree	single_principal_minus_pair_agent_holdout_rank	single_principal_minus_pair_broker_holdout_rank	single_principal_minus_pair_rank_gap	single_principal_minus_pair_agent_holdout_r2	single_principal_minus_pair_broker_holdout_r2	single_principal_minus_pair_r2_gap	single_principal_minus_pair_output_gap	single_principal_minus_pair_outsourcing_rate	single_principal_minus_pair_access_fraction	single_principal_minus_pair_betweenness	single_principal_minus_pair_mean_degree	additive_minus_pair_agent_holdout_rank	additive_minus_pair_broker_holdout_rank	additive_minus_pair_rank_gap	additive_minus_pair_agent_holdout_r2	additive_minus_pair_broker_holdout_r2	additive_minus_pair_r2_gap	additive_minus_pair_output_gap	additive_minus_pair_outsourcing_rate	additive_minus_pair_access_fraction	additive_minus_pair_betweenness	additive_minus_pair_mean_degree
oat/rho=0.5	oat/rho=0.5	0.5	0.5	50	0.47853972420262664	0.814034052532833	0.33549432833020637	-2.4228024709113627	0.4026064273571562	2.8254088982685186	0.5302837976638357	0.938598003963518	0.11442324338034006	0.7826363487603197	18.396545	0.7057140075046905	0.7269855590994372	0.021271551594746717	-0.3037502363969875	-0.11302222066275984	0.19072801573422773	0.3898476472885233	0.6961716046233631	0.35178855211212173	0.46937128832038566	37.193481	0.7044558079291983	0.21267220311937382	-0.49178360480982436	-0.07845607809437947	-2.0319100292296177	-1.953453951135238	0.18151916825831604	0.33875568826764463	0.24622270015584874	0.1307820271050177	22.916168000000003	0.697495861163227	0.23105882176360226	-0.4664370393996248	-0.11130507328454904	-41.67727830631037	-41.565973233025815	0.1746210593874147	0.3636502390918748	0.12912054360980807	0.1762139297866237	18.182056	0.22717428330206385	-0.08704849343339582	-0.3142227767354597	2.119052234514375	-0.515628648019916	-2.634680882534291	-0.14043615037531243	-0.24242639934015486	0.2373653087317817	-0.3132650604399341	18.796936	0.22591608372657163	-0.6013618494134592	-0.8272779331400307	2.344346392816983	-2.434516456586774	-4.778862849403756	-0.34876462940551967	-0.5998423156958734	0.1317994567755087	-0.651854321655302	4.519623000000003	0.2189561369606004	-0.5829752307692307	-0.8019313677298312	2.311497397626814	-42.07988473366753	-44.391382131294336	-0.35566273827642103	-0.5749477648716432	0.01469730022946801	-0.606422418973696	-0.21448900000000037
phase/rho_delta/cells/0_0	phase/rho_delta/cells/0_0	0.0	0.0	20	0.4615005487804879	0.9841625281425891	0.5226619793621012	-2.79611875608102	0.5949227458398337	3.3910415019208537	0.9315556895164251	0.9962472489077416	0.08797399882037718	0.8457540418968016	15.2979625	0.8095955722326454	0.9341592401500936	0.12456366791744837	-0.35278330251963413	0.3249830720216651	0.6777663745412992	0.6895785286716855	0.9273239464163247	0.21695110075386106	0.6954188984625587	29.135205000000003	0.8593084849906193	-0.0004106144465290777	-0.8597190994371482	0.40946298086810823	-1.830927451397621	-2.2403904322657295	0.2025774347701487	0.28330756576851635	0.20609940898289575	0.17586866397303108	18.760889999999996	0.8519451031894935	0.013837739212007505	-0.8381073639774861	0.4070503649449727	-36.91342096634582	-37.32047133129079	0.1808409569868417	0.28364238054844854	0.12496035403839637	0.2122221625402561	16.149347499999998	0.34809502345215754	-0.05000328799249554	-0.39809831144465285	2.4433354535613856	-0.26993967381816864	-2.7132751273795543	-0.24197716084473964	-0.06892330249141698	0.12897710193348388	-0.15033514343424292	13.837242500000002	0.3978079362101314	-0.9845731425891182	-1.3823810787992494	3.205581736949128	-2.425850197237455	-5.631431934186583	-0.7289782547462764	-0.7129396831392253	0.11812541016251857	-0.6698853779237706	3.4629274999999957	0.39044455440900555	-0.9703247889305816	-1.3607693433395873	3.2031691210259927	-37.50834371218565	-40.71151283321164	-0.7507147325295834	-0.7126048683592932	0.036986355218019185	-0.6335318793565454	0.851384999999997
phase/rho_delta/cells/0_1	phase/rho_delta/cells/0_1	0.0	0.25	20	0.43798784709193256	0.9091852345215761	0.47119738742964346	-2.7969736033104122	0.6688855229027467	3.4658591262131586	0.9098116727366008	0.9852172775084037	0.09675867583318819	0.8362040044278602	16.320765	0.7663460084427769	0.8394182786116323	0.07307227016885555	-0.13155790208965215	0.326710452977411	0.45826835506706304	0.664350647601843	0.8497750756514634	0.2679679771021684	0.6130545416932438	34.51635250000001	0.7974006191369606	-0.0018005253283302097	-0.7992011444652907	0.30254351561936055	-2.7476933002144763	-3.050236815833837	0.2075999851165923	0.25752420698403067	0.2141767750651641	0.17752824231366984	19.5360575	0.791274540337711	0.012080572232645411	-0.7791939681050657	0.2770860783822249	-48.84015841892272	-49.11724449730494	0.21849719500006062	0.26739331397050214	0.12516421191985233	0.21026878540864372	16.9093375	0.32835816135084434	-0.06976695590994375	-0.3981251172607879	2.66541570122076	-0.3421750699253357	-3.0075907711460954	-0.24546102513475776	-0.13544220185694034	0.1712093012689802	-0.22314946273461644	18.19558750000001	0.35941277204502803	-0.9109857598499063	-1.270398531894934	3.0995171189297728	-3.416578823117223	-6.516095942046995	-0.7022116876200085	-0.727693070524373	0.11741809923197592	-0.6586757621141904	3.215292499999997	0.3532866932457785	-0.8971046622889307	-1.2503913555347093	3.074059681692637	-49.50904394182547	-52.5831036235181	-0.6913144777365402	-0.7178239635379016	0.028405536086664143	-0.6259352190192166	0.588572499999998
phase/rho_delta/cells/0_2	oat/rho=0.0	0.0	0.5	20	0.47301045028142596	0.8174023686679174	0.3443919183864916	-2.913040645549988	0.33935246720311235	3.2523931127531007	0.9402790213098108	0.9645484806338362	0.11213014706904567	0.811903790671981	17.773035	0.7185091885553472	0.7357248311444653	0.0172156425891182	-0.36347582348962537	-0.1762425173956868	0.1872333060939386	0.6215357751676354	0.6502778367910985	0.32698095251029224	0.5067594309296815	33.1704425	0.7274139399624766	0.003795839587242027	-0.7236181003752346	-0.05265819993405193	-4.304361813847724	-4.251703613913672	0.2413728865529705	0.24344880899144578	0.22414086644167014	0.18178947915342294	20.068444999999997	0.7225558724202626	0.013900253283302064	-0.7086556191369606	-0.07091266465488835	-70.62949307527705	-70.55858041062217	0.26419050401322886	0.2507647959057836	0.12431199079221109	0.22911347535149068	17.37009	0.2454987382739212	-0.08167753752345208	-0.3271762757973734	2.549564822060363	-0.5155949845987992	-3.065159806659162	-0.3187432461421754	-0.31427064384273773	0.21485080544124657	-0.3051443597422996	15.3974075	0.25440348968105064	-0.8136065290806753	-1.068010018761726	2.860382445615936	-4.643714281050837	-7.504096726666773	-0.6989061347568403	-0.7210996716423905	0.11201071937262447	-0.6301143115185581	2.295409999999997	0.24954542213883668	-0.8035021153846154	-1.0530475375234523	2.8421279808951	-70.96884554248017	-73.81097352337527	-0.6760885172965819	-0.7137836847280526	0.012181843723165414	-0.5827903153204903	-0.402944999999999
phase/rho_delta/cells/0_3	phase/rho_delta/cells/0_3	0.0	0.75	20	0.515982645403377	0.7606818433395872	0.24469919793621014	-2.966523328035974	-0.13635378318871888	2.8301695448472555	0.8987994041865923	0.908046013072676	0.11665637585085895	0.7770677586574146	18.6368525	0.6810131801125704	0.6781366322701687	-0.00287654784240149	-0.9754693526154764	-0.9039906717697092	0.07147868084576743	0.6502667355996186	0.543557032046871	0.3443795851125343	0.4482902740123224	30.990274999999997	0.6695377954971858	0.00916800187617261	-0.6603697936210133	-0.5278434665969314	-5.354375450061743	-4.826531983464811	0.2847130015957303	0.24729141586411524	0.21542236014020588	0.17944100921241662	20.150732499999997	0.6688792026266416	0.006798597560975611	-0.662080605065666	-0.5326262815573973	-86.7045453662951	-86.1719190847377	0.26945035915231497	0.2503109363885393	0.12243897326919942	0.24090375793560534	17.511905	0.16503053470919338	-0.08254521106941848	-0.24757574577861163	1.9910539754204977	-0.7676368885809903	-2.758690864001488	-0.24853266858697376	-0.36448898102580496	0.22772320926167536	-0.3287774846450922	12.353422499999997	0.15355515009380882	-0.7515138414634146	-0.9050689915572234	2.4386798614390424	-5.218021666873024	-7.656701528312066	-0.614086402590862	-0.6607545972085607	0.09876598428934694	-0.597626749444998	1.5138799999999968	0.15289655722326456	-0.7538832457786117	-0.9067798030018761	2.4338970464785765	-86.56819158310637	-89.00208862958495	-0.6293490450342774	-0.6577350766841367	0.005782597418340474	-0.5361640007218093	-1.124947500000001
phase/rho_delta/cells/0_4	phase/rho_delta/cells/0_4	0.0	1.0	20	0.4042822119122554	0.5703600007413263	0.16607778882907084	-3.386840221666273	-0.41668677430849643	2.9701534473577764	0.8494028961549228	0.8310973335616799	0.12660739364080276	0.7380212085229365	18.8775775	0.501545594496233	0.493971388805681	-0.007574205690552047	-1.6126468271977523	-1.66784206840425	-0.05519524120649819	0.6883202632978017	0.4889423843322736	0.3587722256908543	0.42421400513592633	29.779675000000005	0.479752347017559	0.006624409624523696	-0.4731279373930354	-1.0068648265668179	-6.807072538876701	-5.800207712309883	0.32274706168412337	0.24095731143966415	0.22482391280740877	0.18164464932734295	19.87177	0.47879273134238964	0.020234959194563952	-0.4585577721478257	-1.0161733582143229	-101.06687980019697	-100.05070644198264	0.36698795392507233	0.266204007675328	0.10482815198052076	0.2657702764539938	17.009202500000004	0.09726338258397765	-0.07638861193564533	-0.17365199451962288	1.7741933944685209	-1.2511552940957538	-3.0253486885642746	-0.1610826328571211	-0.3421549492294063	0.23216483205005156	-0.3138072033870102	10.902097500000004	0.07547013510530359	-0.5637355911168026	-0.6392057262221063	2.3799753950994553	-6.3903857645682045	-8.77036115966766	-0.5266558344707994	-0.5901400221220158	0.09821651916660601	-0.5563765591955936	0.9941925000000005	0.07451051943013426	-0.5501250415467623	-0.6246355609768965	2.3706668634519503	-100.65019302588847	-103.02085988934041	-0.4824149422298505	-0.564893325886352	-0.021779241660282	-0.4722509320689427	-1.8683749999999968
phase/rho_delta/cells/1_0	phase/rho_delta/cells/1_0	0.3	0.0	20	0.4642803854208122	0.9833866400401765	0.5191062546193643	-2.6050178510460613	0.6488433354116484	3.25386118645771	0.653464059389083	0.9915190142351522	0.09669018607044325	0.8392308164417447	15.910979999999999	0.8160810272045028	0.9129912382739211	0.09691021106941838	-0.1374726830987948	0.3369033964328508	0.47437607953164573	0.5071774875800135	0.9006267650426965	0.2611200386204556	0.6429380400467877	33.5646875	0.8405819652908066	0.07154628048780488	-0.7690356848030019	0.36100855053425923	-1.673194144654757	-2.0342026951890166	0.17554692775716702	0.3212958364081719	0.2149094820858807	0.15630357961575078	19.826712500000003	0.8332144793621014	0.08769165103189494	-0.7455228283302064	0.3463004778717195	-35.74022270015413	-36.08652317802585	0.18414546898429004	0.33537641574187416	0.12120183649512159	0.18570710222898384	16.51839	0.35180064178369064	-0.07039540176625536	-0.42219604354994594	2.4675451679472666	-0.3119399389787976	-2.779485106926064	-0.14628657180906957	-0.09089224919245575	0.16442985255001233	-0.196292776394957	17.6537075	0.37630157986999446	-0.9118403595523716	-1.288141939422366	2.9660264015803204	-2.322037480066405	-5.2880638816467265	-0.477917131631916	-0.6702231778269803	0.11821929601543746	-0.6829272368259939	3.9157325000000043	0.3689340939412892	-0.8956949890082816	-1.2646290829495708	2.9513183289177807	-36.389066035565776	-39.34038436448356	-0.46931859040479296	-0.656142598493278	0.024511650424678344	-0.6535237142127608	0.6074100000000016
phase/rho_delta/cells/1_1	phase/rho_delta/cells/1_1	0.3	0.25	20	0.43977769230769237	0.9117161538461538	0.47193846153846153	-2.6924654557859267	0.675765391940684	3.368230847726611	0.6630964218267172	0.9806533751738862	0.10200374039931989	0.8270775047110754	16.70389	0.768053536158963	0.8367754277294521	0.06872189157048914	-0.08571655478876208	0.32286000587485436	0.40857656066361636	0.49463696880718205	0.837447597373379	0.29294994039461	0.5875517449733965	35.953207500000005	0.7913715900562851	0.07151762664165104	-0.7198539634146341	0.28195258091011927	-2.47648384073163	-2.7584364216417496	0.1961484058531433	0.29343366333245047	0.22773440242006537	0.15542628900381555	20.595442499999997	0.7856864540337711	0.07702102720450281	-0.7086654268292683	0.2602773811977921	-45.34422433072546	-45.60450171192325	0.1714081924231103	0.29743248491277247	0.12434638864786662	0.18881173123122968	17.5492025	0.3282758438512706	-0.07494072611670166	-0.4032165699679724	2.6067489009971645	-0.3529053860658296	-2.9596542870629947	-0.1684594530195352	-0.14320577780050714	0.19094619999529008	-0.23952575973767898	19.249317500000004	0.35159389774859273	-0.8401985272045027	-1.1917924249530958	2.9744180366960458	-3.152249232672314	-6.126667269368361	-0.46694801597357394	-0.6872197118414357	0.12573066202074548	-0.6716512157072598	3.891552499999996	0.34590876172607876	-0.834695126641651	-1.1806038883677297	2.9527428369837185	-46.019989722666146	-48.972732559649856	-0.4916882294036069	-0.6832208902611137	0.02234264824854673	-0.6382657734798458	0.8453124999999986
phase/rho_delta/cells/1_2	oat/rho=0.3	0.3	0.5	20	0.46695524134402183	0.8136450772736747	0.34668983592965297	-2.8643961473325588	0.34558491945334435	3.209981066785903	0.6755046484145696	0.9558007210078898	0.11058718135930104	0.8053975942663121	17.6652825	0.7089162945590994	0.7317340337711069	0.022817739212007523	-0.4076240375846217	-0.1952984461931193	0.2123255913915024	0.47358027439359207	0.6742202526303763	0.3324009488481886	0.498033624512107	34.476442500000005	0.7256358067542213	0.09500496716697936	-0.6306308395872419	-0.015338696846417763	-3.7372165172307996	-3.721877820384382	0.20913912704311866	0.26938271568668826	0.2504762090647785	0.16099635203873192	21.401699999999998	0.7154303189493433	0.08993176829268293	-0.6254985506566604	-0.044281125384501116	-61.281221446644054	-61.23694032125953	0.21754161078493808	0.277789035432818	0.14005647131399832	0.1962828646381015	17.7999	0.2419610532150776	-0.08191104350256784	-0.32387209671764544	2.456772109747937	-0.5408833656464637	-2.9976554753944007	-0.20192437402097752	-0.2815804683775135	0.22181376748888756	-0.3073639697542051	16.811160000000005	0.2586805654101995	-0.7186401101066954	-0.9773206755168948	2.849057450486141	-4.082801436684144	-6.931858887170285	-0.46636552137145093	-0.6864180053212016	0.13988902770547748	-0.6444012422275802	3.736417499999998	0.24847507760532145	-0.7237133089809918	-0.9721883865863133	2.8201150219480575	-61.6268063660974	-64.44692138804544	-0.45796303762963153	-0.6780116855750717	0.029469289954697275	-0.6091147296282106	0.13461750000000094
phase/rho_delta/cells/1_3	phase/rho_delta/cells/1_3	0.3	0.75	20	0.4857018386491557	0.722985605065666	0.2372837664165103	-2.925026392882845	-0.11022603437281187	2.814800358510033	0.6370131491089797	0.9023519687617292	0.11838757449897548	0.7748173304071504	18.6421075	0.6469127251407129	0.6460725562851783	-0.0008401688555347106	-0.9386852380762905	-0.8878431744277823	0.050842063648508316	0.46036734279652675	0.5480639464069641	0.34977308345593555	0.4363315881079659	32.0046875	0.6378633911819886	0.10175140712945589	-0.5361119840525328	-0.498971542956444	-4.656276869061385	-4.15730532610494	0.22607290449249878	0.26627221562666087	0.2411452265539507	0.15418332930087972	20.913915	0.6385001031894934	0.12328841463414633	-0.5152116885553472	-0.48702589065078217	-74.04410936854323	-73.55708347789243	0.25602623766484656	0.28796174097276545	0.12500204579252266	0.22248301433575976	17.776895	0.16121088649155713	-0.07691304878048766	-0.238123935272045	1.9863411548065544	-0.7776171400549704	-2.7639582948615247	-0.1766458063124529	-0.3542880223547651	0.23138550895696008	-0.3384857422991845	13.362580000000001	0.15216155253283292	-0.6212341979362102	-0.7733957504690431	2.426054849926401	-4.546050834688573	-6.972105684614974	-0.4109402446164809	-0.6360797531350684	0.12275765205497523	-0.6206340011062706	2.2718074999999978	0.15279826454033762	-0.5996971904315197	-0.7524954549718574	2.4380005022320628	-73.93388333417042	-76.37188383640246	-0.3809869114441331	-0.6143902277889637	0.006614471293547183	-0.5523343160713906	-0.8652125000000019
