seed	nn_agent_holdout_rank	ridge_agent_holdout_rank	delta_agent_holdout_rank	nn_broker_holdout_rank	ridge_broker_holdout_rank	delta_broker_holdout_rank	nn_rank_gap	ridge_rank_gap	delta_rank_gap	nn_agent_holdout_r2	ridge_agent_holdout_r2	delta_agent_holdout_r2	nn_broker_holdout_r2	ridge_broker_holdout_r2	delta_broker_holdout_r2	nn_r2_gap	ridge_r2_gap	delta_r2_gap	nn_output_gap	ridge_output_gap	delta_output_gap	nn_outsourcing_rate	ridge_outsourcing_rate	delta_outsourcing_rate	nn_access_fraction	ridge_access_fraction	delta_access_fraction	nn_betweenness	ridge_betweenness	delta_betweenness	nn_mean_degree	ridge_mean_degree	delta_mean_degree
1	0.6529836772983114	0.43981810506566604	-0.21316557223264537	0.9544995309568481	0.8670523452157599	-0.08744718574108823	0.30151585365853667	0.4272342401500939	0.12571838649155725	-1.0505673843904428	-2.890171710679057	-1.8396043262886141	0.85547800516535	0.5136224440097151	-0.34185556115563487	1.9060453895557927	3.4037941546887716	1.4977487651329788	1.782806872372531	1.810320659765127	0.027513787392595912	0.9610571216352399	0.9609880206389059	-6.910099633405942e-5	0.10202860457993505	0.11946214016346009	0.017433535583525034	0.7981830442340747	0.7638010626120139	-0.03438198162206085	16.9193	17.721300000000003	0.8020000000000032
2	0.6918166979362101	0.4795570356472795	-0.21225966228893067	0.9571823639774859	0.8729095684803003	-0.08427279549718558	0.2653656660412758	0.39335253283302063	0.1279868667917448	-0.9204277886697296	-2.4916438579176154	-1.5712160692478858	0.6613221423709151	0.6720586849708841	0.010736542599968923	1.5817499310406447	3.163702542888499	1.5819526118478542	1.4116503158919163	1.2621489924870457	-0.14950132340487055	0.9630308912186012	0.9609165264087718	-0.0021143648098294054	0.10822041004424818	0.11637600606151607	0.008155596017267897	0.8223326027844381	0.7975421991886683	-0.024790403595769783	16.8842	18.659550000000003	1.775350000000003
3	0.6638383677298311	0.5382236397748592	-0.12561472795497186	0.918265478424015	0.826469230769231	-0.091796247654784	0.2544271106941839	0.2882455909943716	0.03381848030018769	-1.1141383736117894	-1.9105250088750356	-0.7963866352632463	0.809139538190367	0.5350019068306842	-0.27413763135968283	1.9232779118021561	2.44552691570572	0.5222490039035637	1.897285839992854	1.795397554648614	-0.10188828534423999	0.9643787831447422	0.9427485052279746	-0.021630277916767637	0.10155173223782128	0.11862486903075917	0.017073136792937885	0.7893640239041936	0.8169749191512408	0.027610895247047185	17.940199999999997	17.3779	-0.5622999999999969
4	0.6899651031894934	0.5111212945590995	-0.17884380863039395	0.923695966228893	0.8428671669793621	-0.0808287992495309	0.23373086303939963	0.33174587242026277	0.09801500938086313	-0.3135625480341183	-2.087271295472977	-1.7737087474388589	0.7405123306760484	0.6177448732058877	-0.12276745747016071	1.054074878710167	2.7050161686788647	1.6509412899686977	1.9994950163049783	1.6053120368031497	-0.39418297950182857	0.8669856483494549	0.9130163663148968	0.04603071796544189	0.1330554596287207	0.11106567028211292	-0.02198978934660778	0.7525092266482412	0.78989345959072	0.037384232942478834	18.601950000000002	18.0597	-0.5422500000000028
5	0.6161988742964353	0.43151660412757975	-0.18468227016885552	0.9375156660412758	0.8858058161350844	-0.05170984990619143	0.3213167917448406	0.4542892120075046	0.13297242026266398	-1.4853202115299253	-2.6690719851861706	-1.1837517736562453	0.7392998275481117	0.6617184790449623	-0.07758134850314946	2.224620039078037	3.330790464231132	1.106170425153095	1.3532074568102475	1.2546762322812102	-0.09853122452903729	0.9898416077501798	0.9708160163554563	-0.019025591394723484	0.08337731628394017	0.12649008848184567	0.043112772197905505	0.8103295673037574	0.758612999565345	-0.05171656773841238	15.606100000000003	18.1111	2.5049999999999972
6	0.602997842401501	0.48545403377110696	-0.11754380863039404	0.9590697936210131	0.8130554409005628	-0.14601435272045027	0.3560719512195122	0.3276014071294559	-0.028470544090056282	-1.5607656859211179	-3.040609576899838	-1.4798438909787202	0.8924139448490795	0.48926603283022646	-0.4031479120188531	2.4531796307701974	3.5298756097300648	1.0766959789598674	1.7382345458345754	1.6308354269625518	-0.10739911887202358	0.9776904963340838	0.9121145554796574	-0.06557594085442642	0.09822003864990614	0.11510961799190556	0.016889579341999417	0.8450803515728706	0.7481080556462218	-0.0969722959266488	16.49355	18.675549999999998	2.1819999999999986
7	0.6570936210131333	0.5290513133208254	-0.12804230769230784	0.9326808630393995	0.8635950281425891	-0.0690858348968103	0.27558724202626644	0.33454371482176365	0.058956472795497206	-0.9912522706504303	-2.0219783679799384	-1.030726097329508	0.7837678857382835	0.5924512713885073	-0.1913166143497762	1.7750201563887138	2.6144296393684456	0.8394094829797318	1.500592570490822	1.313696197218772	-0.1868963732720501	0.9350853577936518	0.9390845013272425	0.0039991435335907655	0.13021998916096705	0.11925814692286281	-0.010961842238104244	0.7072052940983293	0.7743201908442949	0.0671148967459656	20.402250000000002	18.09765	-2.3046000000000006
8	0.6807044090056286	0.5053409943714822	-0.1753634146341464	0.9788442776735458	0.8870072232645402	-0.09183705440900558	0.2981398686679174	0.38166622889305807	0.08352636022514065	-0.55009046482143	-2.106139323621716	-1.5560488588002859	0.9565379952492181	0.6048179819184216	-0.3517200133307965	1.5066284600706479	2.710957305540137	1.204328845469489	1.3445082180717098	1.2947535029672068	-0.04975471510450302	0.907680634292953	0.9530804781567668	0.045399843863813794	0.10335688329311679	0.11135330327449462	0.00799641998137783	0.7375703484233614	0.735471357741048	-0.0020989906823134508	17.732	19.4466	1.7146000000000008
9	0.616265947467167	0.49688611632270174	-0.11937983114446526	0.9405998123827392	0.8309736397748594	-0.10962617260787977	0.32433386491557215	0.3340875234521577	0.009753658536585552	-1.3915717361807225	-2.6319459714926703	-1.2403742353119478	0.8291579913131141	0.22632839353139542	-0.6028295977817186	2.2207297274938367	2.858274365024066	0.6375446375302292	1.9775993413920052	1.8862483028380272	-0.09135103855397797	0.9383783839353338	0.9217961985212227	-0.01658218541411105	0.14997632825090496	0.10696690707544561	-0.04300942117545935	0.7417323864750954	0.7682625695190691	0.0265301830439737	21.743149999999996	17.395899999999997	-4.347249999999999
10	0.6505926829268293	0.5459472795497184	-0.10464540337711081	0.9605416510318949	0.8502147279549719	-0.11032692307692304	0.30994896810506567	0.3042674484052534	-0.0056815196998122874	-0.8425440962984319	-1.484159086094972	-0.6416149897965402	0.8968861107957478	0.6601391496696025	-0.23674696112614524	1.7394302070941794	2.144298235764574	0.40486802867039473	1.9247527061065728	1.7587452421979226	-0.16600746390865018	0.9598637974197916	0.8957519194922255	-0.06411187792756601	0.11933565481768085	0.13210666789719808	0.012771013079517224	0.7719125856968929	0.6864310380163031	-0.0854815476805898	18.534349999999996	20.0856	1.5512500000000031
