result_reldir	rho	eta	delta	N	nn_agent_holdout_rank	ridge_agent_holdout_rank	nn_broker_holdout_rank	ridge_broker_holdout_rank	nn_rank_gap	ridge_rank_gap	nn_agent_holdout_r2	ridge_agent_holdout_r2	nn_broker_holdout_r2	ridge_broker_holdout_r2	nn_r2_gap	ridge_r2_gap	nn_output_gap	ridge_output_gap	nn_outsourcing_rate	ridge_outsourcing_rate	nn_access_fraction	ridge_access_fraction	nn_betweenness	ridge_betweenness	nn_mean_degree	ridge_mean_degree	delta_agent_holdout_rank	delta_broker_holdout_rank	delta_rank_gap	delta_agent_holdout_r2	delta_broker_holdout_r2	delta_r2_gap	delta_output_gap	delta_outsourcing_rate	delta_access_fraction	delta_betweenness	delta_mean_degree	delta_se_agent_holdout_rank	delta_se_broker_holdout_rank	delta_se_rank_gap	delta_se_agent_holdout_r2	delta_se_broker_holdout_r2	delta_se_r2_gap	delta_se_output_gap	delta_se_outsourcing_rate	delta_se_access_fraction	delta_se_betweenness	delta_se_mean_degree	delta_ci_lower_agent_holdout_rank	delta_ci_lower_broker_holdout_rank	delta_ci_lower_rank_gap	delta_ci_lower_agent_holdout_r2	delta_ci_lower_broker_holdout_r2	delta_ci_lower_r2_gap	delta_ci_lower_output_gap	delta_ci_lower_outsourcing_rate	delta_ci_lower_access_fraction	delta_ci_lower_betweenness	delta_ci_lower_mean_degree	delta_ci_upper_agent_holdout_rank	delta_ci_upper_broker_holdout_rank	delta_ci_upper_rank_gap	delta_ci_upper_agent_holdout_r2	delta_ci_upper_broker_holdout_r2	delta_ci_upper_r2_gap	delta_ci_upper_output_gap	delta_ci_upper_outsourcing_rate	delta_ci_upper_access_fraction	delta_ci_upper_betweenness	delta_ci_upper_mean_degree	delta_n_agent_holdout_rank	delta_n_broker_holdout_rank	delta_n_rank_gap	delta_n_agent_holdout_r2	delta_n_broker_holdout_r2	delta_n_r2_gap	delta_n_output_gap	delta_n_outsourcing_rate	delta_n_access_fraction	delta_n_betweenness	delta_n_mean_degree
oat/N=1500	0.5	0.02	0.5	1500	0.6198306097560975	0.4584848780487805	0.9541040759849908	0.8313993480300187	0.33427346622889303	0.3729144699812383	-1.3522935653131765	-2.8293566147128955	0.8494917432943112	0.5585457178894756	2.2017853086074877	3.3879023326023705	1.7987814595660279	1.5988837756086618	0.9733800316986247	0.9353670569929401	0.11303911136521276	0.12728937651126215	0.8346981069678069	0.7753714021830265	18.02605	19.056314999999998	-0.16134573170731709	-0.12270472795497187	0.03864100375234522	-1.4770630493997188	-0.29094602540483555	1.1861170239948835	-0.19989768395736626	-0.03801297470568476	0.01425026514604939	-0.059326704784780505	1.030265	0.011846342222550021	0.00720750277547269	0.016311874697533726	0.13586077239688452	0.02886389642022192	0.15237217855070104	0.026559653663090165	0.006787031632736685	0.002282433907811177	0.00749149279210621	0.2753129053047444	-0.18614041093586708	-0.13779020463625086	0.004499857637912864	-1.7614229140768907	-0.3513588549163099	0.8671983890656683	-0.2554876779509678	-0.052218395171032744	0.009473076074403439	-0.07500657940208527	0.4540284667081329	-0.1365510524787671	-0.10761925127369287	0.07278214986677758	-1.1927031847225469	-0.2305331958933612	1.5050356589240987	-0.14430768996376478	-0.023807554240336773	0.01902745421769534	-0.04364683016747574	1.606501533291867	20	20	20	20	20	20	20	20	20	20	20
oat/N=500	0.5	0.02	0.5	500	0.6392851829268293	0.5046786163227017	0.9421288977485929	0.8316187382739211	0.30284371482176364	0.32694012195121946	-0.9312485194079313	-2.1611775164490994	0.6966225409246378	0.5683896666750239	1.6278710603325692	2.7295671831241237	1.6308787247374983	1.4997437521633317	0.9600227236566283	0.9261869328858884	0.10374217130261636	0.10635149102060892	0.6957590462028287	0.6604468797879661	17.397535	17.61095	-0.13460656660412756	-0.11051015947467166	0.024096407129455863	-1.229928997041168	-0.12823287424961408	1.1016961227915538	-0.13113497257416676	-0.033835790770740205	0.0026093197179925627	-0.0353121664148623	0.21341500000000027	0.01140747894313939	0.009983833668324305	0.01839620038790474	0.08896606661428834	0.07946232101207303	0.13452716234577178	0.06074491715247437	0.008237206080835578	0.004135844612424221	0.009983599125921373	0.3110314317569683	-0.15848269443227458	-0.13140656349768598	-0.01440728279214424	-1.4161371144909656	-0.29454942354699776	0.8201275360305618	-0.25827554535733555	-0.051076461239047466	-0.006047102541106345	-0.05620807953498551	-0.43758126834439104	-0.11073043877598054	-0.08961375545165734	0.06260009705105596	-1.0437208795913704	0.03808367504776963	1.3832647095525459	-0.003994399790997971	-0.01659512030243294	0.01126574197709147	-0.014416253294739095	0.8644112683443915	20	20	20	20	20	20	20	20	20	20	20
oat/delta=0.0	0.5	0.02	0.0	1000	0.7057480909943715	0.4688081519699813	0.9505215150093809	0.9836058489681051	0.24477342401500937	0.5147976969981238	-0.5958600867358816	-2.3017249978285523	0.7903722278898131	0.7569019951305652	1.3862323146256947	3.058626992959118	1.4767673812440445	1.6479238544628867	0.9484612619791862	0.9783435667274226	0.10028741358277551	0.10422307420932606	0.7684582799049274	0.7705699011834664	16.707832500000002	17.035504999999997	-0.23693993902439017	0.03308433395872418	0.2700242729831144	-1.7058649110926705	-0.03347023275924797	1.6723946783334227	0.17115647321884223	0.029882304748236315	0.003935660626550552	0.0021116212785389165	0.3276725000000004	0.014585103148146287	0.005650145706914065	0.014592900086213575	0.10070007957465943	0.038199568338073586	0.09854919382441933	0.0469081234641941	0.008533442610774706	0.0032486405348884206	0.00719683179894842	0.22027352187782456	-0.2674669107494867	0.021258443083241194	0.23948098207909227	-1.9166325999232636	-0.11342284815885005	1.466128845116366	0.07297664246112912	0.012021604096972009	-0.00286382215709679	-0.012951520792190755	-0.13336527983952146	-0.20641296729929362	0.04491022483420716	0.30056756388713646	-1.4950972222620773	0.046482382640354106	1.8786605115504793	0.26933630397655534	0.04774300539950062	0.010735143410197892	0.01717476334926859	0.7887102798395222	20	20	20	20	20	20	20	20	20	20	20
oat/delta=0.25	0.5	0.02	0.25	1000	0.6725722795497187	0.4746777016885554	0.9491158208255157	0.9341535459662289	0.2765435412757974	0.4594758442776735	-0.8420659938537053	-2.3237812930457467	0.8144041074439619	0.732252905188386	1.6564701012976673	3.056034198234132	1.6139084329208937	1.6340096129868376	0.9685431195508422	0.9654662360559148	0.11680285257176255	0.10878594173438663	0.7773685554999675	0.774798428465463	18.2879875	17.417139999999996	-0.19789457786116324	-0.014962274859287033	0.18293230300187618	-1.4817152991920413	-0.08215120225557575	1.399564096936465	0.02010118006594333	-0.003076883494927235	-0.008016910837375917	-0.0025701270345046432	-0.8708475000000009	0.01071670551145144	0.004764204674500014	0.012941696959871638	0.0803095005308102	0.02599215499345836	0.08657413246791697	0.05446285306108187	0.005173442178406852	0.0030230134502393555	0.00715659690158399	0.2834291561784699	-0.22032490028064122	-0.024933869843140076	0.15584501996000194	-1.649805015600544	-0.13655340788279316	1.2183623551915834	-0.09389088146260625	-0.013905022418423302	-0.014344150705526745	-0.01754905649722391	-1.464071541602188	-0.17546425544168526	-0.004990679875433992	0.21001958604375043	-1.3136255827835386	-0.027748996628358336	1.5807658386813468	0.13409324159449293	0.007751255428568832	-0.001689670969225089	0.012408802428214627	-0.27762345839781377	20	20	20	20	20	20	20	20	20	20	20
oat/delta=0.75	0.5	0.02	0.75	1000	0.5905394183864916	0.46491702157598497	0.9273466181988745	0.7493081285178236	0.3368071998123828	0.28439110694183867	-1.420647860901974	-3.0371975665845072	0.652811609847401	0.3402994712191739	2.073459470749375	3.377497037803681	1.7785301789730195	1.4322586910104749	0.9704705758505858	0.9226930181893813	0.10739731337882194	0.12143669816760272	0.801171084459192	0.7464023184073033	17.546705	18.9556475	-0.12562239681050658	-0.17803848968105074	-0.05241609287054414	-1.616549705682533	-0.3125121386282271	1.3040375670543056	-0.3462714879625447	-0.04777755766120443	0.01403938478878079	-0.054768766051888705	1.4089424999999998	0.008665925008924902	0.010746143507979658	0.016512625646223706	0.12384582436105464	0.08613911272286298	0.16270351833253907	0.035704179611706945	0.006426331932701819	0.004460709524903542	0.007966761989023782	0.3790162673441775	-0.14376038630788493	-0.20053042653537587	-0.08697741554952992	-1.8757619951082471	-0.49280337358256815	0.963495189447438	-0.4210011947327621	-0.06122802497796158	0.004703012453429413	-0.07144339053066127	0.6156523354365856	-0.10748440731312821	-0.1555465528267256	-0.017854770191558365	-1.357337416256819	-0.132220903673886	1.6445799446611733	-0.2715417811923273	-0.03432709034444728	0.023375757124132167	-0.038094141573116136	2.202232664563414	20	20	20	20	20	20	20	20	20	20	20
oat/delta=1.0	0.5	0.02	1.0	1000	0.5483324155722327	0.4449849718574108	0.9286042213883677	0.6731149624765478	0.38027180581613507	0.2281299906191369	-1.5879779537807175	-3.258728266784815	0.6289202509164642	0.12322730422973771	2.216898204697182	3.381955571014552	1.737626309860466	1.3223436396449877	0.974229513808387	0.8984064810836021	0.10557089965781415	0.125781606632133	0.8016690303640128	0.7337456092265879	17.3852475	19.190447499999998	-0.10334744371482178	-0.25548925891181995	-0.1521418151969981	-1.6707503130040968	-0.5056929466867264	1.1650573663173707	-0.41528267021547827	-0.075823032724785	0.020210706974318836	-0.06792342113742499	1.8052000000000004	0.007434422033067714	0.012156321694090696	0.014698668671317975	0.1526176700756173	0.1128399600424477	0.17362232694364763	0.062182966589220075	0.0071769869730383355	0.0033891126270685933	0.007830329509510531	0.2464483946728848	-0.11890786786065563	-0.28093273263067736	-0.18290648229384446	-1.9901827676001151	-0.741869697354042	0.8016616596419722	-0.5454331150611842	-0.09084463909752931	0.01311721272276533	-0.08431248915477375	1.2893775817793398	-0.08778701956898793	-0.23004578519296254	-0.12137714810015175	-1.3513178584080785	-0.2695161960194108	1.528453072992769	-0.2851322253697724	-0.06080142635204068	0.027304201225872342	-0.05153435312007622	2.321022418220661	20	20	20	20	20	20	20	20	20	20	20
oat/eta=0.0	0.5	0.0	0.5	1000	0.6726302298311445	0.618488067542214	0.9264578001876173	0.8572660412757974	0.2538275703564728	0.23877797373358348	-2.2312471252271737	-1.3547850535563926	0.44596571472572377	0.6192020001073044	2.6772128399528974	1.9739870536636972	-1.1064663303800868	-1.4069631332401857	0.5332622028790291	0.5583340907651883	0.0074714124429561156	0.006446403717603487	0.12525837822296812	0.1641555101510074	77.35396	76.470765	-0.05414216228893058	-0.06919175891181986	-0.015049596622889303	0.876462071670781	0.17323628538158076	-0.7032257862892002	-0.3004968028600989	0.025071887886158984	-0.001025008725352629	0.038897131928039286	-0.8831950000000017	0.007886737325038723	0.009763095337976152	0.010391843530665483	0.14250645302858186	0.12937787267954656	0.1813413501384449	0.028662066742185122	0.003994573077074265	0.001108668722854047	0.005833240993079363	1.598407675308627	-0.07064929322103647	-0.08962615229968557	-0.03679997510221954	0.5781926375735513	-0.09755471424488588	-1.082777594187845	-0.36048719800054874	0.01671115034875073	-0.003345479030656289	0.026688018214363562	-4.228700713171825	-0.03763503135682469	-0.048757365523954155	0.00670078185644093	1.1747315057680108	0.4440272850080474	-0.32367397839055534	-0.240506407719649	0.03343262542356724	0.0012954615799510307	0.05110624564171501	2.4623107131718216	20	20	20	20	20	20	20	20	20	20	20
oat/eta=0.001	0.5	0.001	0.5	1000	0.642228067542214	0.6085671998123827	0.9278923968105065	0.8562171951219513	0.2856643292682927	0.2476499953095685	-2.2769208765230955	-1.4899109701633175	0.3992258531967351	0.6040907329812385	2.67614672971983	2.094001703144556	-0.8140255452147501	-1.1043640820704215	0.6388696967140397	0.6361480636782663	0.019245527712836705	0.018067347696536687	0.2723921023024277	0.2890378584020128	52.893347500000004	53.40555500000001	-0.03366086772983116	-0.07167520168855541	-0.0380143339587242	0.787009906359778	0.20486487978450355	-0.5821450265752744	-0.2903385368556712	-0.002721633035773485	-0.0011781800163000184	0.016645756099585057	0.5122074999999985	0.008816731308354118	0.009129066536655414	0.013957628685360345	0.15474375624272205	0.11523006709854788	0.19031461112241344	0.054237591301572526	0.004806954602993165	0.0019996209341370513	0.00860569339641556	1.2588532219072441	-0.05211449843947118	-0.09078255754406916	-0.06722798653968283	0.4631275022742647	-0.0363144224438407	-0.9804780855598489	-0.4038591201030294	-0.012782704648286927	-0.005363434731147281	-0.0013661671839754544	-2.1226025744212653	-0.015207237020191142	-0.05256784583304167	-0.00880068137776557	1.1108923104452912	0.4460441820128478	-0.1838119675906999	-0.17681795360831298	0.0073394385767399555	0.0030070746985472437	0.03465767938314557	3.147017574421262	20	20	20	20	20	20	20	20	20	20	20
oat/eta=0.01	0.5	0.01	0.5	1000	0.6338333020637898	0.5182986116322702	0.9426384709193245	0.8456119043151971	0.30880516885553466	0.32731329268292686	-1.372067026035992	-2.2541496914780397	0.7222663531053295	0.5656165207682454	2.0943333791413217	2.819766212246285	1.2967126535624023	1.0752084718171573	0.9330815579867332	0.9110628934806673	0.06524476519378417	0.06744605872087558	0.7497199569699202	0.7019132321192229	20.265142500000003	21.449577499999997	-0.11553469043151969	-0.09702656660412762	0.01850812382739212	-0.8820826654420472	-0.15664983233708393	0.7254328331049631	-0.22150418174524464	-0.022018664506066175	0.002201293527091437	-0.04780672485069717	1.1844349999999992	0.009595273816316878	0.009463291991849358	0.01580398480079976	0.09350617457952705	0.0633328245970921	0.1057424416857392	0.06364529247921288	0.009629350663801668	0.003234345115974237	0.01120940621164571	0.5050508503853844	-0.13561782933770514	-0.11683346437695785	-0.014569996516185096	-1.0777933380727	-0.28920695765241994	0.504111359084843	-0.3547153098540895	-0.04217312707373569	-0.004568268600900675	-0.07126828168730556	0.12735142144401723	-0.09545155152533424	-0.07721966883129738	0.05158624417096934	-0.6863719928113943	-0.024092707021747928	0.9467543071250832	-0.0882930536363998	-0.0018642019383966618	0.00897085565508355	-0.024345168014088772	2.241518578555981	20	20	20	20	20	20	20	20	20	20	20
oat/eta=0.03	0.5	0.03	0.5	1000	0.6318669934333959	0.4399226313320826	0.9469427954971856	0.8454793996247656	0.31507580206378977	0.40555676829268295	-1.0983973250405403	-2.8845959328667177	0.8414412163229592	0.5751571482104381	1.9398385413634998	3.4597530810771557	1.856290080802535	1.6428588587187487	0.9808273297637797	0.9607266020787855	0.1496445526311101	0.153710752280277	0.8233805657435058	0.7846645473026508	16.327925	16.755025	-0.19194436210131333	-0.10146339587242029	0.0904809662288931	-1.7861986078261771	-0.2662840681125211	1.519914539713656	-0.21343122208378623	-0.020100727684994418	0.004066199649166887	-0.038716018440854996	0.42709999999999904	0.010189871621203979	0.009695970136405541	0.016367571180763946	0.11263356912782692	0.025783604333770724	0.11855955844616789	0.03444707259861147	0.003878598893062532	0.005401237683847751	0.007583143966066591	0.2739855993382442	-0.21327200851582584	-0.12175729459874171	0.05622324603531394	-2.02194337734458	-0.32024977219244954	1.2717665320057987	-0.2855297736366294	-0.02821872846557574	-0.007238720746703079	-0.0545877211698736	-0.14635844997642344	-0.1706167156868008	-0.08116949714609886	0.12473868642247225	-1.5504538383077742	-0.21231836403259263	1.7680625474215133	-0.14133267053094306	-0.011982726904413096	0.015371120045036855	-0.022844315711836392	1.0005584499764215	20	20	20	20	20	20	20	20	20	20	20
