seed	nn_agent_holdout_rank	ridge_agent_holdout_rank	delta_agent_holdout_rank	nn_broker_holdout_rank	ridge_broker_holdout_rank	delta_broker_holdout_rank	nn_rank_gap	ridge_rank_gap	delta_rank_gap	nn_agent_holdout_r2	ridge_agent_holdout_r2	delta_agent_holdout_r2	nn_broker_holdout_r2	ridge_broker_holdout_r2	delta_broker_holdout_r2	nn_r2_gap	ridge_r2_gap	delta_r2_gap	nn_output_gap	ridge_output_gap	delta_output_gap	nn_outsourcing_rate	ridge_outsourcing_rate	delta_outsourcing_rate	nn_access_fraction	ridge_access_fraction	delta_access_fraction	nn_betweenness	ridge_betweenness	delta_betweenness	nn_mean_degree	ridge_mean_degree	delta_mean_degree
1	0.5229396810506566	0.43424418386491564	-0.08869549718574093	0.8901370544090055	0.8364334896810506	-0.0537035647279549	0.36719737335834896	0.402189305816135	0.034991932457786035	-2.801320563469755	-2.502712870085812	0.2986076933839428	0.6546905056614208	0.4040735924059529	-0.2506169132554679	3.4560110691311747	2.9067864624917648	-0.54922460663941	0.681616068242171	0.6127444480661206	-0.06887162017605042	0.9794886485769473	0.9493523964526263	-0.030136252124321028	0.11188835297992665	0.09994199780240702	-0.01194635517751963	0.8162706190400222	0.7604665852947122	-0.055804033745309956	17.0936	18.43445	1.3408499999999997
2	0.48295506566604135	0.4431981238273922	-0.03975694183864914	0.8779535647279548	0.8368242964352721	-0.04112926829268271	0.3949984990619137	0.3936261726078798	-0.0013723264540339009	-3.6341089933967927	-2.7952354586868147	0.838873534709978	0.7215667662496136	0.5104495526575907	-0.21111721359202285	4.355675759646407	3.305685011344406	-1.049990748302001	0.5703817479896752	0.49255958695980945	-0.07782216102986578	0.9719457058294605	0.9585076846503693	-0.013438021179091209	0.1368363110984447	0.09243516511872597	-0.04440114597971874	0.8142271245888366	0.8121390325043066	-0.00208809208452998	19.279649999999997	18.03935	-1.2402999999999977
3	0.5648247654784241	0.5165352720450281	-0.04828949343339595	0.8743765478424015	0.8131007504690432	-0.06127579737335831	0.3095517823639775	0.2965654784240151	-0.012986303939962418	-2.5819993047767413	-2.29305185839016	0.2889474463865813	0.6726064586994981	0.3810942755930383	-0.29151218310645977	3.2546057634762398	2.6741461339831982	-0.5804596294930415	0.6044766136067459	0.6219133392181274	0.017436725611381543	0.9224324027039236	0.9306055726097048	0.008173169905781208	0.13721664138907716	0.11060857368361347	-0.026608067705463687	0.7505294413363244	0.8174088138887987	0.06687937255247434	20.785199999999996	17.294649999999997	-3.490549999999999
4	0.593953095684803	0.5161733583489682	-0.07777973733583488	0.8488679174484053	0.8439367729831144	-0.00493114446529086	0.25491482176360225	0.3277634146341464	0.07284859287054413	-2.0060291762157547	-2.1961121642109918	-0.19008298799523704	0.5277263546264359	0.5671728423857451	0.039446487759309146	2.53375553084219	2.763285006596737	0.22952947575454719	0.8103846168460322	0.50977316657105	-0.30061145027498226	0.9771757660451532	0.9378633746540055	-0.03931239139114773	0.10702510985870017	0.11751362327750894	0.01048851341880877	0.8255296382739978	0.8176089583722614	-0.007920679901736394	18.5055	18.638650000000002	0.13315000000000055
5	0.47944033771106936	0.45834277673545964	-0.02109756097560972	0.8663730769230771	0.8375413696060038	-0.028831707317073296	0.38693273921200755	0.37919859287054414	-0.00773414634146341	-3.4101156984766012	-2.9265656042256936	0.48355009425090767	0.7260024948327564	0.4566434820754415	-0.2693590127573149	4.136118193309357	3.383209086301135	-0.7529091070082217	0.5479721391042314	0.475987254289808	-0.07198488481442339	0.9601030347860824	0.9593067678975421	-0.0007962668885402868	0.13293132769123045	0.11357624299320054	-0.019355084698029906	0.7817219585153427	0.7821908184680505	0.0004688599527078452	20.008899999999997	18.01845	-1.9904499999999956
6	0.49525243902439026	0.4917037523452157	-0.003548686679174573	0.8827378986866791	0.8032644465290808	-0.07947345215759827	0.3874854596622889	0.311560694183865	-0.07592476547842392	-3.8839760178692773	-2.3935539200072684	1.4904220978620089	0.8355378791390573	0.4376787741606207	-0.39785910497843663	4.719513897008335	2.831232694167889	-1.8882812028404463	0.6951844281109233	0.5991254368706863	-0.09605899124023698	0.9913035402562068	0.9150138279451996	-0.07628971231100723	0.08654790384143177	0.1258589068063838	0.039311002964952046	0.8719120630068591	0.7752100547057672	-0.09670200830109188	15.832399999999998	19.850099999999998	4.0177
7	0.44707814258911827	0.44772035647279546	0.0006422138836771896	0.8633010318949343	0.8037218574108819	-0.05957917448405248	0.41622288930581613	0.3560015009380863	-0.06022138836772983	-4.719688707545097	-3.1536654477452397	1.5660232597998571	0.5259978433750063	0.38320292965477754	-0.1427949137202288	5.245686550920103	3.5368683774000176	-1.7088181735200858	0.5480857398371015	0.38938206356095	-0.1587036762761515	0.9914390698792465	0.9357936287633221	-0.0556454411159244	0.09762914133629488	0.12009697139221642	0.02246783005592154	0.8544759677317124	0.8267961337091745	-0.02767983402253793	17.11595	17.386	0.2700499999999977
8	0.4322346153846155	0.4903759849906192	0.05814136960600369	0.9473949343339589	0.8287926829268292	-0.11860225140712977	0.5151603189493433	0.33841669793621004	-0.1767436210131333	-3.1485819463944575	-2.2012176360241513	0.9473643103703062	0.7951238584621833	0.5293099628506701	-0.26581389561151314	3.9437058048566414	2.7305275988748225	-1.2131782059818188	0.5542669579182349	0.4069247538767387	-0.14734220404149617	0.9874185371786963	0.9387989549764064	-0.0486195822022899	0.1046636943492191	0.12491021508468861	0.02024652073546951	0.8463466293953597	0.7594075916280284	-0.08693903776733125	16.72395	18.989549999999998	2.265599999999999
9	0.5065510318949343	0.4883545966228893	-0.01819643527204501	0.9057384615384617	0.8186294559099438	-0.08710900562851787	0.3991874296435272	0.33027485928705447	-0.06891257035647275	-3.3876852067887313	-2.405234701874192	0.9824505049145391	0.2712163158935522	0.19945326565252935	-0.07176305024102286	3.658901522682284	2.6046879675267225	-1.0542135551555614	0.6693119086897225	0.5258272703396226	-0.14348463835009984	0.9892187193073603	0.9437386234538252	-0.045480095853535074	0.1167052118964214	0.1171904279996792	0.00048521610325780173	0.8280042758282399	0.7814619879586723	-0.0465422878695676	19.128200000000003	17.892449999999997	-1.2357500000000066
10	0.5025000435878484	0.4729370544090056	-0.029562989178842813	0.9284527735137491	0.7775513133208255	-0.1509014601929236	0.4259527299259006	0.30461425891182	-0.12133847101408063	-3.3736646574985185	-2.081856186316869	1.2918084711816493	0.8299014465719177	0.3950721871929628	-0.4348292593789549	4.203566104070436	2.476928373509832	-1.7266377305606042	0.6293707433474582	0.5007144755647847	-0.12865626778267358	0.982969713216028	0.9080849165830298	-0.07488479663299819	0.10927696842477763	0.11423104877858763	0.004954080353809995	0.8260319065124373	0.7725668883987644	-0.05346501811367288	17.7058	19.23685	1.5310500000000005
