result_reldir	rho	eta	delta	N	nn_agent_holdout_rank	ridge_agent_holdout_rank	nn_broker_holdout_rank	ridge_broker_holdout_rank	nn_rank_gap	ridge_rank_gap	nn_agent_holdout_r2	ridge_agent_holdout_r2	nn_broker_holdout_r2	ridge_broker_holdout_r2	nn_r2_gap	ridge_r2_gap	nn_output_gap	ridge_output_gap	nn_outsourcing_rate	ridge_outsourcing_rate	nn_access_fraction	ridge_access_fraction	nn_betweenness	ridge_betweenness	nn_mean_degree	ridge_mean_degree	delta_agent_holdout_rank	delta_broker_holdout_rank	delta_rank_gap	delta_agent_holdout_r2	delta_broker_holdout_r2	delta_r2_gap	delta_output_gap	delta_outsourcing_rate	delta_access_fraction	delta_betweenness	delta_mean_degree	delta_se_agent_holdout_rank	delta_se_broker_holdout_rank	delta_se_rank_gap	delta_se_agent_holdout_r2	delta_se_broker_holdout_r2	delta_se_r2_gap	delta_se_output_gap	delta_se_outsourcing_rate	delta_se_access_fraction	delta_se_betweenness	delta_se_mean_degree	delta_ci_lower_agent_holdout_rank	delta_ci_lower_broker_holdout_rank	delta_ci_lower_rank_gap	delta_ci_lower_agent_holdout_r2	delta_ci_lower_broker_holdout_r2	delta_ci_lower_r2_gap	delta_ci_lower_output_gap	delta_ci_lower_outsourcing_rate	delta_ci_lower_access_fraction	delta_ci_lower_betweenness	delta_ci_lower_mean_degree	delta_ci_upper_agent_holdout_rank	delta_ci_upper_broker_holdout_rank	delta_ci_upper_rank_gap	delta_ci_upper_agent_holdout_r2	delta_ci_upper_broker_holdout_r2	delta_ci_upper_r2_gap	delta_ci_upper_output_gap	delta_ci_upper_outsourcing_rate	delta_ci_upper_access_fraction	delta_ci_upper_betweenness	delta_ci_upper_mean_degree	delta_n_agent_holdout_rank	delta_n_broker_holdout_rank	delta_n_rank_gap	delta_n_agent_holdout_r2	delta_n_broker_holdout_r2	delta_n_r2_gap	delta_n_output_gap	delta_n_outsourcing_rate	delta_n_access_fraction	delta_n_betweenness	delta_n_mean_degree
oat/N=1500	0.5	0.02	0.5	1500	0.48275781894934333	0.4605824249530957	0.8998612945590996	0.8015616463414634	0.41710347560975614	0.3409792213883678	-3.9624340719353186	-2.718534390669428	0.7230857396555825	0.4071161362094598	4.6855198115909005	3.125650526878887	0.6497081315980502	0.5324177477282726	0.9808013144634792	0.932532262972811	0.11326601691989487	0.12442158357960693	0.8613820279150275	0.8089533619871643	18.00072666666667	19.05744166666667	-0.022175393996247683	-0.09829964821763601	-0.07612425422138834	1.2438996812658911	-0.31596960344612274	-1.559869284712014	-0.1172903838697777	-0.04826905149066828	0.011155566659712058	-0.05242866592786305	1.056715000000001	0.011746581223583148	0.013637168968780502	0.021346804822008094	0.1752973567382513	0.05495134272260308	0.19368701429452242	0.013066427446561385	0.006194607546437968	0.004171043911024511	0.007004359406680855	0.3467046010155489	-0.04676127105426821	-0.12684257090332415	-0.12080363019861057	0.8769980969385365	-0.430984085586566	-1.9652608646569756	-0.14463873082061163	-0.06123451409298218	0.002425471421944443	-0.0670889586517672	0.3310539303004215	0.0024104830617728383	-0.06975672553194785	-0.031444878244166106	1.6108012655932458	-0.2009551213056795	-1.1544777047670522	-0.08994203691894379	-0.03530358888835437	0.019885661897479673	-0.037768373203958906	1.7823760696995805	20	20	20	20	20	20	20	20	20	20	20
oat/N=500	0.5	0.02	0.5	500	0.5278780884359543	0.4929506285178237	0.9052318627646068	0.8031226641651031	0.37735377432865236	0.3101720356472796	-2.3860837218833786	-2.05394240732289	0.5040656383756658	0.40112304358640233	2.8901493602590445	2.455065450909292	0.6270334397530493	0.5062131887064111	0.9670743520737002	0.9312978621780135	0.11763007276321406	0.10152163421865876	0.7171287393296562	0.7160294878266691	18.579810000000002	17.002935	-0.03492745991813066	-0.10210919859950347	-0.06718173868137284	0.3321413145604889	-0.10294259478926342	-0.43508390934975233	-0.12082025104663818	-0.0357764898956868	-0.016108438544555303	-0.0010992515029870364	-1.5768749999999994	0.008319808254143432	0.011147400127006518	0.016316759322069583	0.12004422342719771	0.13333655395384728	0.2024552338439231	0.015280574123920558	0.007676211419301994	0.004692635645347471	0.012485029913742946	0.43694131551496435	-0.05234101872211767	-0.12544097520944236	-0.1013331084324555	0.08088586733459857	-0.3820192095465772	-0.8588275837259427	-0.15280286025317308	-0.05184298504300962	-0.02593023782884142	-0.027230719432458327	-2.4914036837376305	-0.017513901114143658	-0.07877742198956458	-0.033030368930290176	0.5833967617863792	0.17613401996805034	-0.011340234973561958	-0.08883764184010327	-0.019709994748363973	-0.006286639260269183	0.025032216426484254	-0.6623463162623683	20	20	20	20	20	20	20	20	20	20	20
oat/delta=0.0	0.5	0.02	0.0	1000	0.523613716654039	0.4594645075046905	0.9498468798371587	0.9830890900562853	0.42623316318311966	0.5236245825515948	-2.1998507866363117	-2.4749801464154357	0.8286450194820478	0.7336957981499488	3.02849580611836	3.2086759445653845	0.5379856300569524	0.546222000970573	0.9840484120704511	0.984999543835616	0.11053138784776877	0.10124393166353456	0.8059496170541343	0.806990682017547	18.138430000000003	16.8086875	-0.06414920914934852	0.033242210219126635	0.09739141936847517	-0.27512935977912356	-0.09494922133209902	0.1801801384470247	0.008236370913620648	0.0009511317651650419	-0.009287456184234225	0.001041064963412841	-1.3297425000000007	0.015441976043641423	0.004242988176694977	0.015485365784693063	0.138962523067226	0.020004015394917748	0.14409519246266997	0.014202028945426024	0.0024019933743040004	0.002173352971033457	0.004266207433481892	0.21800597463671187	-0.09646963645628688	0.024361533902733993	0.06498017628980118	-0.5659812632200971	-0.136818106738416	-0.12141456550193849	-0.021488817290559098	-0.004076298145782614	-0.013836336231327018	-0.007888209815960298	-1.7860342489193666	-0.031828781842410156	0.04212288653551928	0.12980266244714916	0.015722543661850052	-0.05308033592578203	0.4817748423959879	0.03796155911780039	0.005978561676112697	-0.004738576137141432	0.009970339742785978	-0.8734507510806349	20	20	20	20	20	20	20	20	20	20	20
oat/delta=0.25	0.5	0.02	0.25	1000	0.509937950281426	0.44911260480034876	0.9400637288930584	0.9206359788314666	0.4301257786116322	0.4715233740311179	-2.6593196980556275	-2.5286879214827636	0.7917928709352965	0.7036291464057947	3.4511125689909243	3.232317067888558	0.5905827983447762	0.5474174438410352	0.9799852721856237	0.971501305998617	0.12097634922305076	0.10583191294331311	0.8030431216854655	0.8102346071090585	19.034975	17.1795525	-0.06082534548107719	-0.019427750061591607	0.04139759541948562	0.13063177657286365	-0.08816372452950191	-0.2187955011023653	-0.043165354503740976	-0.008483966187006664	-0.015144436279737637	0.00719148542359308	-1.8554225000000006	0.009262767778499839	0.003945793501276274	0.010487800389524016	0.11893109146881203	0.034517818238136364	0.13111901856262356	0.015445522585920399	0.003496510800512517	0.006040972647381256	0.008942639310802088	0.6062789572517342	-0.08021254125187557	-0.027686390773490836	0.019446376926379016	-0.11829385868839484	-0.1604103484076152	-0.4932307609443461	-0.0754932048089792	-0.015802247398977818	-0.02778833734272925	-0.011525673763813039	-3.124378941209468	-0.0414381497102788	-0.01116910934969238	0.06334881391259223	0.37955741183412217	-0.01591710065138864	0.05563975873961552	-0.010837504198502747	-0.0011656849750355117	-0.0025005352167460203	0.025908644610999197	-0.5864660587905337	20	20	20	20	20	20	20	20	20	20	20
oat/delta=0.75	0.5	0.02	0.75	1000	0.48031451219512195	0.4611806425891182	0.8000729924953095	0.7123033255159474	0.31975848030018766	0.25112268292682927	-3.838390949968507	-2.742911627364193	0.07058811950883528	0.028245184719241784	3.908979069477342	2.7711568120834347	0.7178607916889284	0.5186812483379677	0.9675065600624746	0.9053079674071831	0.10532096477025499	0.11910834981049687	0.8273514306613163	0.7682554348595529	17.158252500000003	18.771642500000002	-0.019133869606003735	-0.0877696669793621	-0.06863579737335837	1.0954793226043142	-0.04234293478959354	-1.1378222573939074	-0.19917954335096083	-0.062198592655291374	0.013787385040241868	-0.05909599580176352	1.6133899999999997	0.009336295709537883	0.022221763901808873	0.025645289399435958	0.19777587872259017	0.2570126672560076	0.31388936188397565	0.020809121958690047	0.007517090104961565	0.004149011876530926	0.010319583514068732	0.37770589981875413	-0.038674961105135616	-0.13428035335723032	-0.12231200496864025	0.6815296510561925	-0.5802766296440562	-1.7948002422399432	-0.24273353616161525	-0.07793204306413061	0.005103403380636881	-0.08069513232818482	0.8228424661874121	0.0004072218931281506	-0.041258980601493876	-0.01495958977807648	1.5094289941524361	0.4955907600648692	-0.48084427254787154	-0.1556255505403064	-0.04646514224645214	0.022471366699846854	-0.03749685927534223	2.403937533812587	20	20	20	20	20	20	20	20	20	20	20
oat/delta=1.0	0.5	0.02	1.0	1000	0.4153665478424015	0.4180030769230769	0.7442084099437147	0.5853480300187618	0.3288418621013133	0.1673449530956848	-4.457771752045766	-2.9261930199224446	-0.763230948774957	-0.3067405933662736	3.694540803270809	2.619452426556171	0.8006499755994524	0.4915273186491632	0.9609738400431624	0.851214998191453	0.10828108404454033	0.12904131727912221	0.818434749339626	0.7398433577666561	17.3079475	19.4033125	0.0026365290806754068	-0.15886037992495305	-0.16149690900562846	1.5315787321233212	0.4564903554086836	-1.0750883767146375	-0.30912265695028907	-0.10975884185170962	0.020760233234581874	-0.07859139157296978	2.095365000000001	0.008737237999724043	0.03098929699679567	0.03170342670647296	0.2064090648875168	0.6725751219419182	0.6884530584286382	0.024408175301566044	0.011076251804327107	0.004794809966685449	0.011079913867697931	0.36561632566588315	-0.01565072022183736	-0.22372172396844958	-0.2278529437094472	1.099559594265823	-0.951225553212353	-2.516037188336747	-0.3602095549806816	-0.1329417033108497	0.010724580637992523	-0.10178191781883375	1.3301212356969254	0.020923778383188173	-0.09399903588145653	-0.09514087430180974	1.9635978699808194	1.8642062640297203	0.36586043490747167	-0.25803575891989655	-0.08657598039256954	0.030795885831171224	-0.0554008653271058	2.860608764303077	20	20	20	20	20	20	20	20	20	20	20
oat/eta=0.0	0.5	0.0	0.5	1000	0.5657278893058162	0.5992829127579736	0.8776847514071295	0.8220481238273922	0.3119568621013134	0.22276521106941835	-4.140038610296811	-1.5343261069565204	0.21242711502980388	0.44519825615033276	4.352465725326615	1.979524363106853	-0.20620444814361777	-0.3568435820524679	0.5495414645735978	0.5772745539820481	0.008632224961024212	0.004199761259588293	0.10887139133341925	0.2018758542159791	85.57815250000002	68.7733475	0.03355502345215756	-0.05563662757973744	-0.08919165103189498	2.605712503340291	0.23277114112052888	-2.3729413622197617	-0.15063913390885017	0.02773308940845031	-0.004432463701435919	0.09300446288255984	-16.804804999999995	0.007584969141731548	0.007752246225002321	0.010039158714110076	0.21507929233949266	0.18149897163228562	0.2622683968008442	0.01366747165604647	0.0050830496093009735	0.0008861376364892538	0.010097726354517389	2.195569152268591	0.017679500586568676	-0.07186226540436332	-0.11020385170655017	2.155546370868616	-0.14711057235621633	-2.921875425435032	-0.1792454808478992	0.017094144306432614	-0.006287171090124454	0.07186967872772221	-21.400184048815017	0.04943054631774644	-0.039410989755111564	-0.0681794503572398	3.0558786358119656	0.612652854597274	-1.8240072990044913	-0.12203278696980113	0.03837203451046801	-0.002577756312747384	0.11413924703739747	-12.209425951184972	20	20	20	20	20	20	20	20	20	20	20
oat/eta=0.001	0.5	0.001	0.5	1000	0.552841425891182	0.5820142870544089	0.8665810647279549	0.8213176876172609	0.31373963883677297	0.23930340056285182	-4.230738208104623	-1.6701265341731442	-0.14870001105686703	0.4407968014846861	4.082038197047757	2.110923335657831	-0.0914318794318468	-0.2230157180502347	0.6786210927814764	0.6729169096297755	0.023255597038575007	0.014188408120410449	0.271379908086801	0.35698413851202054	60.36472000000001	48.78897	0.029172861163227	-0.04526337711069414	-0.07443623827392121	2.5606116739314784	0.5894968125415531	-1.9711148613899254	-0.1315838386183879	-0.005704183151700987	-0.009067188918164559	0.08560423042521956	-11.575750000000003	0.00718507254224492	0.012101317734425852	0.012981647330784007	0.17975545352190206	0.3703675763352744	0.3699598867248746	0.013567549004601444	0.006724115805747353	0.0021484285634652575	0.01185233894013277	1.3730178460046933	0.014134331499639717	-0.07059172621888532	-0.10160713840309755	2.1843791857990627	-0.1856914337010821	-2.7454498034712613	-0.15998104504438224	-0.019777919277757308	-0.013563901580675233	0.06079699992252138	-14.44950937881971	0.04421139082681428	-0.019935028002502964	-0.04726533814474486	2.936844162063894	1.3646850587841883	-1.1967799193085895	-0.10318663219239356	0.008369552974355335	-0.004570476255653885	0.11041146092791773	-8.701990621180295	20	20	20	20	20	20	20	20	20	20	20
oat/eta=0.01	0.5	0.01	0.5	1000	0.5149546388367731	0.5066916041275797	0.8738665150093808	0.8193235787992496	0.3589118761726079	0.3126319746716698	-3.3558782060300714	-2.3591254642284203	0.05475801006880643	0.4178880299072363	3.410636216098878	2.777013494135656	0.5140747100015801	0.44594487710372865	0.9419987798455057	0.9123047453215826	0.07560003420992792	0.06589670156979606	0.7380590655139252	0.7412725943117506	23.31872	20.8443875	-0.008263034709193259	-0.05454293621013133	-0.04627990150093808	0.9967527418016513	0.36313001983842996	-0.6336227219632213	-0.06812983289785153	-0.029694034523923097	-0.009703332640131875	0.003213528797825438	-2.4743325	0.00942881895228891	0.011985443240292729	0.01823032650998046	0.16058480717849744	0.4066254356398675	0.4154376867832265	0.020808673627265944	0.010166872719309421	0.0033949846394300195	0.014522911337905646	0.6859141554608077	-0.027997779580994902	-0.07962875721480948	-0.08443641340604467	0.6606448776045359	-0.4879467980900707	-1.5031437935082597	-0.11168288734005097	-0.05097354368354534	-0.01680911715480563	-0.027183273972450246	-3.9099673266386317	0.011471710162608385	-0.029457115205453174	-0.00812338959583149	1.3328606059987667	1.2142068377669306	0.23589834958181688	-0.0245767784556521	-0.008414525364300856	-0.002597548125458122	0.03361033156810112	-1.0386976733613686	20	20	20	20	20	20	20	20	20	20	20
oat/eta=0.03	0.5	0.03	0.5	1000	0.4975331660412758	0.4367162101313321	0.8954389915572234	0.8199593151969979	0.39790582551594744	0.38324310506566606	-2.845851833095555	-2.827543174412055	0.6425460282725488	0.4336594339797027	3.488397861368104	3.261202608391758	0.6772453189816906	0.5796912634874101	0.9827726776103052	0.9631677609949172	0.1495972213870735	0.1544718759943911	0.8410112033981616	0.8163014201858404	16.558597499999998	16.67744	-0.060816955909943717	-0.07547967636022518	-0.014662720450281445	0.018308658683499936	-0.20888659429284626	-0.22719525297634605	-0.09755405549428058	-0.01960491661538787	0.004874654607317623	-0.024709783212321017	0.11884250000000032	0.009541507828074522	0.011159141042226721	0.017796261868874425	0.12763999079984872	0.07671400919927387	0.15797878425206696	0.010665526585019864	0.004285226689258322	0.003202196890909408	0.00659000941321091	0.29918555686702014	-0.08078756130942888	-0.09883602698814072	-0.051910724620385	-0.24884491236503878	-0.36945086085702683	-0.5578486485021028	-0.11987725918965847	-0.028573999154598018	-0.001827620512307269	-0.03850283143294864	-0.5073600672542181	-0.040846350510458554	-0.05212332573230964	0.022585283719822106	0.28546222973203866	-0.04832232772866568	0.10345814254941074	-0.07523085179890268	-0.010635834076177719	0.011576929726942516	-0.010916734991693393	0.7450450672542187	20	20	20	20	20	20	20	20	20	20	20
